eartag,species,date,dpi,barn,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest
211,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
212,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
217,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
220,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
221,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
222,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
226,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
230,Bovine,6/10/2021,0,1,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
213,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
214,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
216,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
219,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
223,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
225,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
227,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
229,Bovine,6/10/2021,0,3,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
211,Bovine,8/10/2021,2,1,0.067,0.905,Neg,0.061,0.5,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
212,Bovine,8/10/2021,2,1,0.072,1.241,Neg,0.062,0.57,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
217,Bovine,8/10/2021,2,1,0.338,19.081,Neg,0.067,0.91,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
220,Bovine,8/10/2021,2,1,0.067,0.905,Neg,0.068,0.97,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
221,Bovine,8/10/2021,2,1,0.075,1.442,Neg,0.068,0.97,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
222,Bovine,8/10/2021,2,1,0.069,1.04,Neg,0.165,7.48,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
226,Bovine,8/10/2021,2,1,0.081,1.844,Neg,0.065,0.77,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
230,Bovine,8/10/2021,2,1,0.054,0.034,Neg,0.059,0.37,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
213,Bovine,8/10/2021,2,3,0.071,1.174,Neg,0.091,2.52,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
214,Bovine,8/10/2021,2,3,1.013,64.353,Pos,0.061,0.5,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
216,Bovine,8/10/2021,2,3,0.076,1.509,Neg,0.056,0.17,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
219,Bovine,8/10/2021,2,3,0.071,1.174,Neg,0.076,1.51,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
223,Bovine,8/10/2021,2,3,0.09,2.448,Neg,0.067,0.91,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
225,Bovine,8/10/2021,2,3,0.073,1.308,Neg,0.072,1.24,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
227,Bovine,8/10/2021,2,3,0.072,1.241,Neg,0.063,0.64,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
229,Bovine,8/10/2021,2,3,0.063,0.637,Neg,0.061,0.5,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
211,Bovine,10/10/2021,4,1,0.288,19.8,Neg,0.115,-2.02,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
212,Bovine,10/10/2021,4,1,0.213,10.34,Neg,0.108,-2.9,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
217,Bovine,10/10/2021,4,1,0.342,26.61,Pos,0.111,-2.52,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
220,Bovine,10/10/2021,4,1,0.277,18.41,Neg,0.118,-1.64,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
221,Bovine,10/10/2021,4,1,0.202,8.95,Neg,0.267,17.15,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
222,Bovine,10/10/2021,4,1,,,,,,,,,,,,,,,,,,,,,,
226,Bovine,10/10/2021,4,1,0.28,18.79,Neg,0.151,2.52,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
230,Bovine,10/10/2021,4,1,0.27,17.53,Neg,0.36,28.88,Pos,,,,U,U,U,U,U,U,,,0,0,0,,
213,Bovine,10/10/2021,4,3,0.282,19.04,Neg,0.113,-2.27,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
214,Bovine,10/10/2021,4,3,0.295,20.68,Pos,0.112,-2.4,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
216,Bovine,10/10/2021,4,3,0.259,16.14,Neg,0.11,-2.65,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
219,Bovine,10/10/2021,4,3,0.454,40.73,Pos,0.137,0.76,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
223,Bovine,10/10/2021,4,3,0.271,17.65,Neg,0.119,-1.51,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
225,Bovine,10/10/2021,4,3,0.261,16.39,Neg,0.123,-1.01,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
227,Bovine,10/10/2021,4,3,,,,,,,,,,,,,,,,,,,,,,
229,Bovine,10/10/2021,4,3,0.27,17.53,Neg,0.15,2.4,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
211,Bovine,12/10/2021,6,1,0.334,21.7838765,Pos,0.13,-1.54373928,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
212,Bovine,12/10/2021,6,1,0.324,20.64036592,Pos,0.11,-3.830760435,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
217,Bovine,12/10/2021,6,1,0.328,21.09777015,Pos,0.091,-6.003430532,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
220,Bovine,12/10/2021,6,1,,,,,,,,,,,,,,,,,,,,,,
221,Bovine,12/10/2021,6,1,0.343,22.81303602,Pos,0.093,-5.774728416,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
222,Bovine,12/10/2021,6,1,,,,,,,,,,,,,,,,,,,,,,
226,Bovine,12/10/2021,6,1,0.464,36.64951401,Pos,0.11,-3.830760435,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
230,Bovine,12/10/2021,6,1,0.271,14.57975986,Neg,0.378,26.81532304,Pos,,,,U,U,U,U,U,U,,,0,0,0,,
213,Bovine,12/10/2021,6,3,,,,,,,,,,,,,,,,,,,,,,
214,Bovine,12/10/2021,6,3,0.314,19.49685535,Neg,0.113,-3.487707261,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
216,Bovine,12/10/2021,6,3,0.348,23.38479131,Pos,0.09,-6.117781589,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
219,Bovine,12/10/2021,6,3,0.284,16.06632361,Neg,0.086,-6.57518582,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
223,Bovine,12/10/2021,6,3,0.242,11.26357919,Neg,0.097,-5.317324185,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
225,Bovine,12/10/2021,6,3,0.209,7.489994282,Neg,0.109,-3.945111492,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
227,Bovine,12/10/2021,6,3,,,,,,,,,,,,,,,,,,,,,,
229,Bovine,12/10/2021,6,3,0.233,10.23441967,Neg,0.189,5.202973128,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
211,Bovine,14/10/2021,8,1,0.347,22.0705347,Pos,0.727,65.30147895,Pos,,,,U,U,28.4799,28.4697,U,U,,,0,28.4748,0,,
212,Bovine,14/10/2022,8,1,0.347,22.0705347,Pos,0.151,-0.227531286,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
217,Bovine,14/10/2023,8,1,0.272,13.53811149,Neg,0.169,1.820250284,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
220,Bovine,14/10/2024,8,1,,,,,,,,,,,,,,,,,,,,,,
221,Bovine,14/10/2025,8,1,,,,,,,,,,,,,,,,,,,,,,
222,Bovine,14/10/2026,8,1,,,,,,,,,,,,,,,,,,,,,,
226,Bovine,14/10/2027,8,1,0.288,15.35836177,Neg,0.143,-1.137656428,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
