eartag,species,date,dpi,barn,ln_r_1,ln_r_2,ln_med_1,ln_med_2,ln_b_1,ln_b_2,ln_mes_1,ln_mes_2,ln_t_1,ln_t_2,lung_cr_1,lung_cr_2,lung_ca_1,lung_ca_2,colon1,colon2,peyers1,peyers2,spleen1,spleen2,tongue_a_1,tongue_a_2,tonsil1,tonsil2,nasal_muc_1,nasal_muc_2,eyelid1,eyelid2,ln_r_mean,ln_med_mean,ln_b_mean,ln_mes_mean,ln_t_mean,lung_cr_mean,lung_ca_mean,colon_mean,peyers_mean,spleen_mean,tongue_a_mean,tonsil_mean,nasal_muc_mean,eyelid_mean
222,Bovine,8/10/2021,2,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Bovine,8/10/2021,2,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Bovine,10/10/2021,4,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Bovine,10/10/2021,4,,28.9027,31.6286,U,U,U,U,U,U,28.6339,30.091,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,30.26565,0,0,0,29.36245,0,0,0,0,0,0,0,0,0
221,Bovine,12/10/2021,6,,24.6514,24.4503,30.2489,27.0674,26.7191,26.5279,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,35.3559,30.1197,U,U,U,U,24.55085,28.65815,26.6235,0,0,0,0,0,0,0,0,32.7378,0,0
229,Bovine,12/10/2021,6,,21.9372,22.1016,35.0931,37.5012,24.9378,27.047,U,U,41.3704,U,U,U,U,U,U,U,U,U,U,41.7771,U,U,U,35.974,U,U,U,U,22.0194,36.29715,25.9924,0,41.3704,0,0,0,0,41.7771,0,35.974,0,0
212,Bovine,14/10/2026,8,,23.9098,24.1819,27.3435,26.014,25.2659,25.6013,U,U,29.4164,29.8089,U,U,U,U,U,U,U,U,U,U,U,U,22.3669,22.8163,U,U,24.4908,23.8926,24.04585,26.67875,25.4336,0,29.61265,0,0,0,0,0,0,22.5916,0,24.1917
225,Bovine,14/10/2026,8,,U,U,32.3924,33.0318,32.4445,30.3335,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,22.7395,22.4514,U,U,26.3416,26.2612,0,32.7121,31.389,0,0,0,0,0,0,0,0,22.59545,0,26.3014
217,Bovine,16/10/2021,10,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,28.4361,31.1988,U,U,27.7153,27.8676,0,0,0,0,0,0,0,0,0,0,0,29.81745,0,27.79145
219,Bovine,16/10/2021,10,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,24.6235,24.2916,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,24.45755,0,0,0
216,Bovine,30/10/2021,17,,29.1302,28.6746,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,24.9483,24.8055,U,U,U,U,28.9024,0,0,0,0,0,0,0,0,0,0,24.8769,0,0
226,Bovine,30/10/2021,17,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Bovine,30/10/2021,24,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,24.8992,25.1481,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,25.02365,0,0
214,Bovine,30/10/2021,24,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Bovine,3/11/2021,28,,27.6021,27.6749,26.7589,26.4746,26.894,26.9711,U,U,36.4444,U,U,U,U,U,U,U,U,U,U,U,U,U,25.0188,24.4187,U,U,U,32.504,27.6385,26.61675,26.93255,0,36.4444,0,0,0,0,0,0,24.71875,0,32.504
230,Bovine,3/11/2021,28,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,29.4467,27.9237,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,28.6852,0,0,0
