eartag,species,date,dpi,barn,od1,od2,delete,od_avg,sn,status,notes2,expt
211,Bovine,6/10/2021,0,1,1.48,1.39,N,1.44,88.33,Neg,,
212,Bovine,6/10/2021,0,1,1.44,1.37,N,1.4,86.25,Neg,,
217,Bovine,6/10/2021,0,1,1.62,1.58,N,1.6,98.31,Neg,,
220,Bovine,6/10/2021,0,1,1.52,1.5,N,1.51,92.88,Neg,,
221,Bovine,6/10/2021,0,1,1.23,1.23,N,1.23,75.38,Neg,,
222,Bovine,6/10/2021,0,1,1.23,1.33,N,1.28,78.6,Neg,,
226,Bovine,6/10/2021,0,1,1.47,1.45,N,1.46,89.78,Neg,,
230,Bovine,6/10/2021,0,1,0.99,0.98,P,0.98,60.42,Neg,,
213,Bovine,6/10/2021,0,3,1.42,1.35,N,1.38,84.92,Neg,,
214,Bovine,6/10/2021,0,3,1.37,1.32,N,1.34,82.53,Neg,,
216,Bovine,6/10/2021,0,3,1.28,1.24,N,1.26,77.31,Neg,,
219,Bovine,6/10/2021,0,3,1.24,1.42,N,1.33,81.52,Neg,,
223,Bovine,6/10/2021,0,3,1.19,1.13,N,1.16,71.2,Neg,,
225,Bovine,6/10/2021,0,3,1.49,1.47,N,1.48,91,Neg,,
227,Bovine,6/10/2021,0,3,1.42,1.39,N,1.41,86.28,Neg,,
229,Bovine,6/10/2021,0,3,1.42,1.5,N,1.46,89.56,Neg,,
211,Bovine,8/10/2021,2,1,1.38,1.38,N,1.38,84.62,Neg,,
212,Bovine,8/10/2021,2,1,1.4,1.39,N,1.4,85.75,Neg,,
217,Bovine,8/10/2021,2,1,1.53,1.52,N,1.53,93.68,Neg,,
220,Bovine,8/10/2021,2,1,1.39,1.45,N,1.42,87.32,Neg,,
221,Bovine,8/10/2021,2,1,1.33,1.33,N,1.33,81.92,Neg,,
222,Bovine,8/10/2021,2,1,1.36,1.35,N,1.36,83.33,Neg,,
226,Bovine,8/10/2021,2,1,1.4,1.39,N,1.39,85.6,Neg,,
230,Bovine,8/10/2021,2,1,0.98,1,P,0.99,60.55,Neg,,
213,Bovine,8/10/2021,2,3,1.36,1.37,N,1.36,83.73,Neg,,
214,Bovine,8/10/2021,2,3,1.36,1.38,N,1.37,83.97,Neg,,
216,Bovine,8/10/2021,2,3,1.33,1.33,N,1.33,81.89,Neg,,
219,Bovine,8/10/2021,2,3,1.5,1.51,N,1.51,92.45,Neg,,
223,Bovine,8/10/2021,2,3,1.27,1.3,N,1.28,78.88,Neg,,
225,Bovine,8/10/2021,2,3,1.49,1.51,N,1.5,92.08,Neg,,
227,Bovine,8/10/2021,2,3,1.47,1.48,N,1.48,90.57,Neg,,
229,Bovine,8/10/2021,2,3,1.4,1.44,N,1.42,87.23,Neg,,
211,Bovine,10/10/2021,4,1,1.46,1.44,N,1.45,88.79,Neg,,
212,Bovine,10/10/2021,4,1,1.38,1.37,N,1.37,84.19,Neg,,
217,Bovine,10/10/2021,4,1,1.6,1.58,N,1.59,97.45,Neg,,
220,Bovine,10/10/2021,4,1,1.46,1.49,N,1.47,90.51,Neg,,
221,Bovine,10/10/2021,4,1,1.36,1.35,N,1.35,82.93,Neg,,
222,Bovine,10/10/2021,4,1,,,,,,,,
226,Bovine,10/10/2021,4,1,1.39,1.39,N,1.39,85.35,Neg,,
