eartag,species,date,dpi,barn,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest
150,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
198,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
206,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
234,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
239,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
241,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
246,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
254,Caprine,9/8/2021,0,2,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
178,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
195,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
196,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
200,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
208,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
209,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
235,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
253,Caprine,9/8/2021,0,6,,,,,,,,,,U,U,U,U,U,U,,,0,0,0,,
150,Caprine,10/8/2021,1,2,0.074,1.374916164,Neg,0.054,0.033534541,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
198,Caprine,10/8/2021,1,2,0.075,1.441985245,Neg,0.059,0.368879946,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
206,Caprine,10/8/2021,1,2,0.078,1.643192488,Neg,0.06,0.435949027,Neg,,,,U,U,U,U,U,U,,,0,0,0,,
