eartag,species,date,dpi,barn,od1,od2,delete,od_avg,sn,status,notes2,expt
150,Caprine,9/8/2021,0,2,1.09,1.03,N,1.06,67.31,Neg,sacrificed dpi 6,
178,Caprine,9/8/2021,0,6,1.32,1.27,N,1.29,82.34,Neg,sacrificed dpi 6,
195,Caprine,9/8/2021,0,6,1.15,1.16,N,1.15,73.42,Neg,sacrificed dpi 4,
196,Caprine,9/8/2021,0,6,1.33,1.3,N,1.31,83.45,Neg,sacrificed dpi 7,
198,Caprine,9/8/2021,0,2,1.12,1.07,N,1.09,69.67,Neg,sacrificed dpi 4,
200,Caprine,9/8/2021,0,6,1.23,1.23,N,1.23,78.26,Neg,sacrificed dpi 3,
206,Caprine,9/8/2021,0,2,0.97,1.15,P,1.06,67.57,Neg,sacrificed dpi 7,
208,Caprine,9/8/2021,0,6,1.22,1.28,N,1.25,79.63,Neg,sacrificed dpi 2,
209,Caprine,9/8/2021,0,6,0.95,0.96,P,0.95,60.66,Neg,sacrificed dpi 5,
234,Caprine,9/8/2021,0,2,1.2,1.32,N,1.26,80.2,Neg,sacrificed dpi 3,
235,Caprine,9/8/2021,0,6,1.23,1.21,N,1.22,77.72,Neg,sacrificed dpi 1,
239,Caprine,9/8/2021,0,2,1.25,1.24,N,1.24,79.22,Neg,sacrificed dpi 2,
241,Caprine,9/8/2021,0,2,1.23,1.19,N,1.21,76.83,Neg,sacrificed dpi 5,
246,Caprine,9/8/2021,0,2,1.33,1.29,N,1.31,83.51,Neg,sacrificed dpi 1,
253,Caprine,9/8/2021,0,6,1.21,1.21,N,1.21,77.02,Neg,sacrificed dpi 8,
254,Caprine,9/8/2021,0,2,1.19,1.21,N,1.2,76.51,Neg,sacrificed dpi 8,
150,Caprine,10/8/2021,1,2,1.12,1.07,N,1.09,69.64,Neg,sacrificed dpi 6,
178,Caprine,10/8/2021,1,6,1.22,1.2,N,1.21,76.83,Neg,sacrificed dpi 6,
195,Caprine,10/8/2021,1,6,1.22,1.16,N,1.19,75.68,Neg,sacrificed dpi 4,
196,Caprine,10/8/2021,1,6,1.18,1.14,N,1.16,73.93,Neg,sacrificed dpi 7,
198,Caprine,10/8/2021,1,2,1.16,1.13,N,1.15,72.98,Neg,sacrificed dpi 4,
200,Caprine,10/8/2021,1,6,1.15,1.08,N,1.12,71.16,Neg,sacrificed dpi 3,
206,Caprine,10/8/2021,1,2,1.16,1.15,N,1.16,73.52,Neg,sacrificed dpi 7,
208,Caprine,10/8/2021,1,6,1.33,1.32,N,1.32,84.28,Neg,sacrificed dpi 2,
209,Caprine,10/8/2021,1,6,1.03,1.01,N,1.02,64.7,Neg,sacrificed dpi 5,
234,Caprine,10/8/2021,1,2,1.24,1.25,N,1.24,79.22,Neg,sacrificed dpi 3,
235,Caprine,10/8/2021,1,6,1.2,1.24,N,1.22,77.72,Neg,sacrificed dpi 1,
239,Caprine,10/8/2021,1,2,1.24,1.24,N,1.24,78.96,Neg,sacrificed dpi 2,
241,Caprine,10/8/2021,1,2,1.28,1.28,N,1.28,81.51,Neg,sacrificed dpi 5,
246,Caprine,10/8/2021,1,2,1.35,1.35,N,1.35,86.03,Neg,sacrificed dpi 1,
253,Caprine,10/8/2021,1,6,1.22,1.2,N,1.21,77.02,Neg,sacrificed dpi 8,
254,Caprine,10/8/2021,1,2,1.26,1.22,N,1.24,78.99,Neg,sacrificed dpi 8,
150,Caprine,11/8/2021,2,2,1.13,1.14,N,1.13,72.15,Neg,sacrificed dpi 6,
178,Caprine,11/8/2021,2,6,1.14,1.18,N,1.16,73.65,Neg,sacrificed dpi 6,
195,Caprine,11/8/2021,2,6,1.23,1.23,N,1.23,78.45,Neg,sacrificed dpi 4,
196,Caprine,11/8/2021,2,6,1.19,1.23,N,1.21,76.93,Neg,sacrificed dpi 7,
198,Caprine,11/8/2021,2,2,1.16,1.18,N,1.17,74.32,Neg,sacrificed dpi 4,
200,Caprine,11/8/2021,2,6,1.26,1.27,N,1.27,80.59,Neg,sacrificed dpi 3,
206,Caprine,11/8/2021,2,2,1.13,1.15,N,1.14,72.34,Neg,sacrificed dpi 7,
208,Caprine,11/8/2021,2,6,1.34,1.37,N,1.36,86.31,Neg,sacrificed dpi 2,
209,Caprine,11/8/2021,2,6,1.02,1.06,N,1.04,66.01,Neg,sacrificed dpi 5,
234,Caprine,11/8/2021,2,2,1.25,1.3,N,1.27,81.03,Neg,sacrificed dpi 3,
235,Caprine,11/8/2021,2,6,,,,,,,sacrificed dpi 1,
239,Caprine,11/8/2021,2,2,1.34,1.34,N,1.34,85.39,Neg,sacrificed dpi 2,
241,Caprine,11/8/2021,2,2,1.29,1.32,N,1.31,83.23,Neg,sacrificed dpi 5,
246,Caprine,11/8/2021,2,2,,,,,,,sacrificed dpi 1,
253,Caprine,11/8/2021,2,6,1.3,1.31,N,1.31,83.07,Neg,sacrificed dpi 8,
